year,module,student,programme,science,grade,mark,perc,first
2011,SPS9D8,1612532/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1517116/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1715793/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1713711/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1715326/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1712727/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1723686/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1711259/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1818297/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1818333/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1815591/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1616910/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1814091/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1811158/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1820345/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1916652/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1922006/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1818277/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1912301/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1911388/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1914729/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1912199/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D4,2019200/1,Bachelor of Science in Mathematics and its Applications,0,2C,13,65,0
2011,SPS9D8,1617529/1,Bachelor of Science with Honours in Computing Science and Sports Studies,0,2C,13,65,0
2013,SPS9D4,2017409/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2C,13,65,0
2011,SPS9D6,1932696/1,Institutional Credit Credit Bearing UG Student,0,2C,13,65,0
2012,SPS9D6,2033477/1,Institutional Credit Non-graduating UG Exchange Student,0,2C,13,65,0
2014,SPS9D4,2122682/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2119898/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2110608/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2124520/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2120934/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2124272/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2119365/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D4,2121240/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D4,2011411/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2010,SPS915,1715065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS915,1918983/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS915,1818246/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS915,1912178/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS915,2014171/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9C5,1916122/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9C5,1918983/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9C5,1818246/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9C5,1911737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9C5,1918573/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9C5,1914731/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9C5,2017620/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9C5,2013588/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9C5,1916586/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2011,SPS9D6,1717358/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2011,SPS9D6,1825216/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1812087/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1811431/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1810817/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1813444/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1814367/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1814025/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D6,1814228/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1913182/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1917784/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1912218/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1916122/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,2131530/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1916368/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1912429/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1911737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1918573/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D6,1914731/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D6,2013588/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D6,2015951/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2011,SPS9D8,1614431/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2011,SPS9D8,1612898/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D8,1712213/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2012,SPS9D8,1710992/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D8,1816330/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D8,1812087/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1913182/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1917784/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1912218/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1916199/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1918393/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1927267/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1918573/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2014,SPS9D8,1811155/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2C,13,65,0
2013,SPS9D4,2010956/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2013,SPS9D4,2018459/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2012,SPS915,1914427/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2011,SPS9C5,1615304/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2013,SPS9C5,2010956/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2013,SPS9C5,2014234/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2013,SPS9C5,2021394/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2011,SPS9D6,1717067/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2012,SPS9D6,1821212/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2013,SPS9D6,1917042/1,Bachelor of Arts in Sports Studies,0,2D,12,60,0
2014,SPS9D8,1918590/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2D,12,60,0
2014,SPS9D8,1914149/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2D,12,60,0
2014,SPS9D8,1917311/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,2D,12,60,0
2012,SPS9C5,1916836/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2012,SPS9C5,1913648/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2012,SPS9C5,1815608/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2013,SPS9C5,2016882/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2013,SPS9C5,2020691/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2013,SPS9C5,2021395/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2011,SPS9D8,1615200/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2012,SPS9D8,1716631/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2012,SPS9D8,1714458/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2D,12,60,0
2014,SPS9D4,2110291/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2014,SPS9D4,2216078/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D4,2012954/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS915,1715326/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS915,1813965/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS915,1916652/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS915,1919063/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS9C5,1714088/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS9C5,1714638/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS9C5,1712727/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS9C5,1714176/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9C5,1916770/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9C5,1914729/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9C5,1912191/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D6,1715326/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D6,1713717/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D6,1817756/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D6,1815327/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D6,1818208/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D8,1516085/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D8,1614762/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D8,1615074/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D8,1612977/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D8,1610861/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2011,SPS9D8,1616796/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1714899/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1615029/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1714920/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1716107/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1711445/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1713885/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1717154/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2012,SPS9D8,1617958/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1814005/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1815113/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1810620/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1814274/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1813596/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1918445/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1817780/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1513656/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2013,SPS9D8,1813468/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2014,SPS9D8,1913642/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2014,SPS9D8,1917937/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2014,SPS9D8,1911182/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2014,SPS9D8,1814076/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2014,SPS9D8,2020346/1,Bachelor of Arts with Honours in Sports Studies,0,2D,12,60,0
2010,SPS9C5,1718628/1,Bachelor of Arts with Honours in Sports Studies and Tourism Management,0,2D,12,60,0
2011,SPS9D8,1622081/1,Bachelor of Arts with Honours in Sports Studies and Tourism Management,0,2D,12,60,0
2012,SPS9D8,1711361/1,Bachelor of Arts with Honours in Sports Studies and Tourism Management,0,2D,12,60,0
2012,SPS9C5,1917353/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2D,12,60,0
2013,SPS9D6,1920454/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2D,12,60,0
2011,SPS9C5,1816896/1,General Degree of Bachelor of Science (main subject: Biology),0,2D,12,60,0
2012,SPS9D6,2033426/1,Institutional Credit Non Graduating Study Abroad,0,2D,12,60,0
2013,SPS9C5,2230881/1,Institutional Credit Non Graduating Study Abroad - Science Without Borders,0,2D,12,60,0
2014,SPS9D6,2230881/1,Institutional Credit Non Graduating Study Abroad - Science Without Borders,0,2D,12,60,0
2014,SPS9D4,2116686/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D4,2114989/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D4,2116554/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D4,2112337/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D4,2117195/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D4,2015951/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D4,2014323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS915,1815063/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS915,1810817/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS915,1814367/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1810308/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1917784/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1918099/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1915850/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1918393/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1816513/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1913814/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS915,1918573/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS915,2019450/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS915,1915843/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS9C5,1815063/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1917968/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1916453/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1913590/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1913182/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1917784/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1916199/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1913123/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1916384/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1918099/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1918393/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,2131530/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9C5,1914704/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9C5,1915843/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS9D6,1712315/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS9D6,1712213/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2012,SPS9D6,1812886/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1917968/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1916453/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1916199/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1913123/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1916384/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1918099/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1918983/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1927267/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1914704/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D6,1816513/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS9D8,1515701/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS9D8,1614974/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2011,SPS9D8,1614069/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D8,1814228/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D8,1916453/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D8,1913590/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D8,1916384/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D8,2131530/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D8,1914704/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2014,SPS9D8,1911737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2D,12,60,0
2013,SPS9D4,2020432/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2013,SPS9D4,2014234/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2013,SPS9D4,2122802/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2012,SPS915,1917042/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2010,SPS9C5,1816042/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2011,SPS9C5,1815167/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2011,SPS9C5,1821212/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2012,SPS9C5,1917042/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2012,SPS9C5,1925384/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2013,SPS9C5,2019052/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2011,SPS9D6,1721937/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2011,SPS9D6,1720415/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2011,SPS9D6,1715634/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2012,SPS9D6,1815261/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2013,SPS9D6,1921782/1,Bachelor of Arts in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1711956/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2E,11,55,0
2014,SPS9D8,1920160/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,2E,11,55,0
2011,SPS915,1817071/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,2E,11,55,0
2012,SPS9D8,1713748/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,2E,11,55,0
2012,SPS915,1911049/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2E,11,55,0
2012,SPS915,1814530/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2E,11,55,0
2012,SPS9C5,1911950/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2E,11,55,0
2014,SPS9D4,2020465/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D4,2110551/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D4,2122087/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D4,1611272/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D4,2111463/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D4,2014929/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D4,1814905/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D4,1916497/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS915,1714638/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS915,1718934/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS915,1813436/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS915,1812592/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS915,2018394/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS915,2012954/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS915,2122171/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS9C5,1817961/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS9C5,1715326/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS9C5,1714666/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS9C5,1725545/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9C5,1715961/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9C5,1813436/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9C5,1915086/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9C5,2020346/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
