year,module,student,programme,science,grade,mark,perc,first
2011,SPS9D6,1723686/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D6,2019514/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9D8,1515505/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9D8,1622071/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9D8,1614395/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9D8,1611561/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9D8,1618394/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2011,SPS9D8,1610934/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1723171/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1614248/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1713082/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1616968/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1715536/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2012,SPS9D8,1816881/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1811143/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1713543/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1812166/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1815327/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1812330/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1720654/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1813227/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2013,SPS9D8,1817124/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D8,1915086/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D8,2018109/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D8,2018903/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D8,1716853/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2014,SPS9D8,1922659/1,Bachelor of Arts with Honours in Sports Studies,0,2E,11,55,0
2010,SPS9C5,1711361/1,Bachelor of Arts with Honours in Sports Studies and Tourism Management,0,2E,11,55,0
2014,SPS9D8,1916838/1,Bachelor of Science with Honours in Computing Science and Sports Studies,0,2E,11,55,0
2014,SPS9D4,1615341/2,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2E,11,55,0
2012,SPS9C5,1920454/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2E,11,55,0
2012,SPS9C5,1812092/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2E,11,55,0
2012,SPS9D6,1816922/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2E,11,55,0
2013,SPS9D6,1812092/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2E,11,55,0
2013,SPS9D6,1917353/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2E,11,55,0
2011,SPS915,1811339/1,General Degree of Bachelor of Science (main subject: Biology),0,2E,11,55,0
2013,SPS9D6,2133489/1,Institutional Credit Non-graduating UG Exchange Student,0,2E,11,55,0
2014,SPS9D4,2115626/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2014,SPS9D4,2119347/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2014,SPS9D4,2111139/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9D4,2016946/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2010,SPS915,1622670/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2011,SPS915,1810323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2011,SPS915,1814025/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2012,SPS915,1914704/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2012,SPS915,1916368/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2010,SPS9C5,1717358/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2010,SPS9C5,1712315/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2010,SPS9C5,1825216/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2010,SPS9C5,1210599/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2011,SPS9C5,1816330/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2011,SPS9C5,1811065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2012,SPS9C5,1915850/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2012,SPS9C5,1927267/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2012,SPS9C5,1912429/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2012,SPS9C5,1912274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9C5,2019450/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9C5,2014323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9D6,1915850/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9D6,1918887/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9D6,1912274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2013,SPS9D8,1818202/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2014,SPS9D8,1913123/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2014,SPS9D8,1918887/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2014,SPS9D8,1912274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2E,11,55,0
2010,SPS915,1615900/1,Bachelor of Arts in Psychology,0,2F,10,50,0
2014,SPS9D4,0020446/2,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2013,SPS9D4,2018219/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2013,SPS9D4,2121890/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2013,SPS9D4,2021394/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS915,1721937/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS915,1715634/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2011,SPS915,1821212/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1721937/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1715697/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1715634/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1719084/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1611210/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2011,SPS9C5,1714260/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2012,SPS9C5,1913084/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2013,SPS9C5,2023693/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2013,SPS9C5,1917263/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2011,SPS9D6,1714217/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2011,SPS9D6,1715697/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2013,SPS9D6,1925384/1,Bachelor of Arts in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1610900/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2F,10,50,0
2010,SPS9C5,1711956/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2F,10,50,0
2011,SPS9D8,1612317/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2F,10,50,0
2012,SPS9D8,1711759/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2F,10,50,0
2013,SPS9D8,1814774/1,Bachelor of Arts with Honours in Film & Media and Sports Studies,0,2F,10,50,0
2010,SPS915,1716172/1,Bachelor of Arts with Honours in History and Sports Studies,0,2F,10,50,0
2014,SPS9D8,1927944/1,Bachelor of Arts with Honours in Human Resource Management and Sports Studies,0,2F,10,50,0
2010,SPS9C5,1414513/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,2F,10,50,0
2010,SPS915,1714458/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2012,SPS915,1812269/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2013,SPS915,2019583/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2010,SPS9C5,1724305/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2011,SPS9C5,1717312/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2013,SPS9D8,1813918/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2014,SPS9D8,1916747/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2F,10,50,0
2014,SPS9D4,2116463/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2119732/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2015290/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,1919042/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2118963/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2113002/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2121009/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2118735/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2220882/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2126777/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D4,2020440/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D4,1921362/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS915,1717535/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS915,1715793/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS915,1818781/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS915,1717308/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS915,1810861/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS915,1817756/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS915,1812985/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS915,1817494/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS915,2019514/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS915,1912191/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS915,1921362/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1524468/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1713464/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1723686/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1723173/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1818781/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1713717/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1715536/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2010,SPS9C5,1713720/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9C5,1815281/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9C5,1814091/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9C5,1821670/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9C5,1820345/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9C5,1813468/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9C5,1717950/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9C5,1921845/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9C5,1912450/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9C5,1921362/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9D6,1716535/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9D6,1715536/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9D8,1617623/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9D8,1616464/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9D8,1620778/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2011,SPS9D8,1514075/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1617868/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1518265/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1714672/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1714666/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1723173/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1611556/2,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1713720/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1712691/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2012,SPS9D8,1710797/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1815281/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1816970/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1716061/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1817756/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1811872/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1810874/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1827325/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2013,SPS9D8,1812592/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D8,1818428/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D8,1916770/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D8,1717950/1,Bachelor of Arts with Honours in Sports Studies,0,2F,10,50,0
2014,SPS9D4,2033679/1,Bachelor of Science with Honours in Sport Studies, Physical Education and Professional Education,0,2F,10,50,0
2010,SPS9C5,1714820/1,General Degree of Bachelor of Arts (main subject: Economics),0,2F,10,50,0
2012,SPS9C5,1914009/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,2F,10,50,0
2011,SPS915,1816896/1,General Degree of Bachelor of Science (main subject: Biology),0,2F,10,50,0
2010,SPS9C5,1720931/1,General Degree of Bachelor of Science (main subject: Biology),0,2F,10,50,0
2011,SPS9D6,1720931/1,General Degree of Bachelor of Science (main subject: Biology),0,2F,10,50,0
2011,SPS9C5,2027361/1,Institutional Credit Non-graduating UG Exchange Student,0,2F,10,50,0
2010,SPS9C5,1927296/1,Institutional Credit Non-graduating UG Reciprocal Exchange Student,0,2F,10,50,0
2014,SPS9D4,2119333/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2014,SPS9D4,2115990/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2014,SPS9D4,2116882/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2014,SPS9D4,2116208/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2010,SPS915,1717358/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2010,SPS915,1712315/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2010,SPS915,1825216/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2010,SPS915,1710992/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS915,1816330/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS915,1812087/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS915,1811737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS915,1818202/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS915,1812003/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1916453/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1913590/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1912218/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1916384/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1918887/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1927267/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1912429/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1911737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1912274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS915,1914731/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2013,SPS915,2015951/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2013,SPS915,2014323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2010,SPS9C5,1712213/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS9C5,1810323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS9C5,1811737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS9C5,1814367/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS9C5,1818202/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2011,SPS9C5,1812003/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2012,SPS9C5,1916368/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2013,SPS9C5,2015951/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2013,SPS9D8,1811431/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2013,SPS9D8,1814025/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2014,SPS9D8,1916122/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2014,SPS9D8,1816513/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2F,10,50,0
2010,SPS915,1719462/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2011,SPS915,1714260/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2012,SPS915,1925384/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2013,SPS915,2018219/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1717417/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1711022/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1815261/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2012,SPS9C5,1921782/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2013,SPS9C5,2018219/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2013,SPS9C5,2020432/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2013,SPS9C5,2018459/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2011,SPS9D6,1611210/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2012,SPS9D6,1811944/1,Bachelor of Arts in Sports Studies,0,3A,9,45,0
2010,SPS915,1610900/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3A,9,45,0
2010,SPS9C5,1711759/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3A,9,45,0
2011,SPS9D8,1611775/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3A,9,45,0
2013,SPS9D8,1811615/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3A,9,45,0
2013,SPS9D8,1823052/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3A,9,45,0
2010,SPS915,1713629/1,Bachelor of Arts with Honours in Economics and Sports Studies,0,3A,9,45,0
2012,SPS915,1913832/1,Bachelor of Arts with Honours in History and Sports Studies,0,3A,9,45,0
2011,SPS9D8,1615007/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,3A,9,45,0
2010,SPS915,1713748/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,3A,9,45,0
2012,SPS9D8,1615202/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,3A,9,45,0
2010,SPS915,1710472/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3A,9,45,0
2011,SPS9C5,1813918/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3A,9,45,0
2011,SPS9C5,1812838/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3A,9,45,0
2011,SPS9C5,1822244/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3A,9,45,0
2012,SPS9D8,1710472/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3A,9,45,0
2014,SPS9D4,2222374/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D4,2119357/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D4,2115281/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D4,2013950/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2013,SPS9D4,1912191/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1610594/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1714088/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1817961/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1615122/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1717154/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1714672/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS915,1712727/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS915,1811143/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS915,1820345/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2012,SPS915,1912301/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2012,SPS915,1912500/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1713711/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1813965/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1615089/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1713082/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2010,SPS9C5,1717308/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1811143/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1812691/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1817756/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1716429/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1815591/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9C5,1813596/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9D6,1713830/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9D8,1617338/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9D8,1717745/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2011,SPS9D8,1614659/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2012,SPS9D8,1612433/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2012,SPS9D8,1614965/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2012,SPS9D8,1615122/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
