year,module,student,programme,science,grade,mark,perc,first
2012,SPS9D8,1818781/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2012,SPS9D8,1517763/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2013,SPS9D8,1812691/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2013,SPS9D8,1921539/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2013,SPS9D8,1814391/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2013,SPS9D8,1718934/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D8,1916193/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D8,1919390/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D8,1917681/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2014,SPS9D8,1816971/1,Bachelor of Arts with Honours in Sports Studies,0,3A,9,45,0
2013,SPS9D4,1918953/1,Diploma in Higher Education (main subject: Sports Studies),0,3A,9,45,0
2010,SPS915,1717027/1,Diploma in Higher Education in Sports Studies,0,3A,9,45,0
2012,SPS9C5,1919681/1,Diploma in Higher Education in Sports Studies,0,3A,9,45,0
2012,SPS915,1812092/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3A,9,45,0
2013,SPS915,2017409/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3A,9,45,0
2011,SPS9C5,1816922/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3A,9,45,0
2011,SPS9C5,1811339/1,General Degree of Bachelor of Science (main subject: Biology),0,3A,9,45,0
2011,SPS9C5,1815877/1,General Degree of Bachelor of Science (main subject: Biology),0,3A,9,45,0
2011,SPS915,2027361/1,Institutional Credit Non-graduating UG Exchange Student,0,3A,9,45,0
2010,SPS915,1927296/1,Institutional Credit Non-graduating UG Reciprocal Exchange Student,0,3A,9,45,0
2014,SPS9D4,2116509/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2010,SPS915,1712213/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS915,1812886/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS915,1811065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS915,1814228/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2012,SPS915,1916122/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2012,SPS915,1913123/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2012,SPS915,2131530/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS9C5,1812087/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS9C5,1811431/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS9C5,1812886/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS9C5,1814025/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2011,SPS9C5,1814228/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2012,SPS9C5,1816513/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3A,9,45,0
2014,SPS9D4,2119675/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2013,SPS9D4,2122363/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS915,1715697/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS915,1725622/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS915,1816042/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS915,1611210/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2011,SPS915,1815167/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2013,SPS915,2020432/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2013,SPS915,1917263/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2013,SPS915,2010956/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2013,SPS915,2014234/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1714217/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1719462/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1717067/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2011,SPS9C5,1811944/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2011,SPS9C5,1725622/1,Bachelor of Arts in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1812082/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3B,8,40,0
2012,SPS9D8,1713629/1,Bachelor of Arts with Honours in Economics and Sports Studies,0,3B,8,40,0
2010,SPS915,1713531/1,Bachelor of Arts with Honours in Human Resource Management and Sports Studies,0,3B,8,40,0
2011,SPS915,1815397/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,3B,8,40,0
2010,SPS915,1716631/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2010,SPS915,1718087/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2011,SPS915,1816360/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2013,SPS915,1916693/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2011,SPS9C5,1815701/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2011,SPS9D8,1515576/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2011,SPS9D8,1424431/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2011,SPS9D8,1516145/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3B,8,40,0
2014,SPS9D4,2115683/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D4,2120700/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D4,2115569/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D4,2216824/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D4,2119930/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS915,1716535/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS915,1714920/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS915,1714666/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS915,1723686/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS915,1517763/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1815113/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1815327/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1815591/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1818208/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1814091/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1813227/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS915,1811158/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS915,1814509/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1818374/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1714904/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1616108/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1713830/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1818333/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS9C5,1811872/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS9C5,1818208/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS9C5,1823686/2,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS9D8,1611458/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2011,SPS9D8,1623968/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1612482/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1717352/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1714904/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1524468/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1726614/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1713241/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2012,SPS9D8,1715852/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1817395/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1812332/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1818208/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1713282/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1815395/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1821670/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2013,SPS9D8,1712656/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D8,1911473/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D8,1927648/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2014,SPS9D8,1916882/1,Bachelor of Arts with Honours in Sports Studies,0,3B,8,40,0
2010,SPS9C5,1715860/1,Diploma in Higher Education in Sports Studies,0,3B,8,40,0
2011,SPS915,1816922/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3B,8,40,0
2013,SPS9C5,2017409/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3B,8,40,0
2011,SPS915,1817343/1,General Degree of Bachelor of Science (main subject: Psychology),0,3B,8,40,0
2014,SPS9D4,2116125/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2010,SPS915,1210599/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2011,SPS915,1811431/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2012,SPS915,1917968/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2012,SPS915,1913182/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2011,SPS9C5,1810817/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2011,SPS9C5,1813444/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2013,SPS9D8,1812886/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2014,SPS9D8,1818246/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3B,8,40,0
2011,SPS915,1816326/1,Bachelor of Arts ,0,3C,7,35,0
2010,SPS915,1714217/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2010,SPS915,1712855/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2010,SPS915,1716214/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2010,SPS915,1717067/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2010,SPS915,1719084/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1815261/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1625071/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1811944/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1815200/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1811262/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1922784/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1811984/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1717532/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1720415/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1921052/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1713631/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1612458/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1615304/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2012,SPS915,1921782/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2013,SPS915,2018459/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1720415/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1911963/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1612458/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2013,SPS9C5,2012902/1,Bachelor of Arts in Sports Studies,0,3C,7,35,0
2011,SPS915,1812082/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3C,7,35,0
2011,SPS9D8,1424905/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3C,7,35,0
2013,SPS9D8,1716672/2,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,3C,7,35,0
2011,SPS915,1817351/1,Bachelor of Arts with Honours in Law and Sports Studies,0,3C,7,35,0
2011,SPS915,1815198/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,3C,7,35,0
2012,SPS915,1916747/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,3C,7,35,0
2014,SPS9D4,2118002/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2014,SPS9D4,2122060/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1714899/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1612433/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1723171/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1713711/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1713830/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1615089/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1725545/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1720654/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1723173/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1713082/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1713717/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1715536/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1713720/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1712691/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1710797/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1815281/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1718582/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1716061/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1812166/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1921539/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1716429/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1811872/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1810620/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1827409/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1813596/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1814391/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1513656/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS915,1810310/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2012,SPS915,1914178/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2012,SPS915,1916770/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2012,SPS915,1912450/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS9C5,1518265/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1718582/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1815113/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1812332/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9C5,1817124/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9D8,1717216/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9D8,1614588/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9D8,1618518/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2011,SPS9D8,1613304/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2012,SPS9D8,1717308/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2013,SPS9D8,1814548/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2013,SPS9D8,1827409/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2013,SPS9D8,1810310/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2013,SPS9D8,1914117/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2014,SPS9D8,1813924/1,Bachelor of Arts with Honours in Sports Studies,0,3C,7,35,0
2010,SPS915,1614285/1,Diploma in Higher Education in Sports Studies,0,3C,7,35,0
2012,SPS915,1920454/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3C,7,35,0
2012,SPS915,1917353/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,3C,7,35,0
2010,SPS915,1720931/1,General Degree of Bachelor of Science (main subject: Biology),0,3C,7,35,0
2011,SPS915,1815877/1,General Degree of Bachelor of Science (main subject: Biology),0,3C,7,35,0
2014,SPS9D4,2123017/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3C,7,35,0
2011,SPS915,1813444/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3C,7,35,0
2012,SPS915,1916199/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3C,7,35,0
2012,SPS9C5,1918887/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3C,7,35,0
2014,SPS9D8,1917968/1,Bachelor of Science with Honours in Sport and Exercise Science,1,3C,7,35,0
2013,SPS9D4,2019052/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2010,SPS915,1717417/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2010,SPS915,1724313/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2010,SPS915,1720415/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2010,SPS915,1716092/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2010,SPS915,1718036/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2011,SPS915,1818182/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2011,SPS915,1717037/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2010,SPS9C5,1720415/1,Bachelor of Arts in Sports Studies,0,4A,6,30,0
2014,SPS9D4,2222151/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2014,SPS9D4,2118655/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2014,SPS9D4,2117069/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2014,SPS9D4,2219842/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2010,SPS915,1713464/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2010,SPS915,1818333/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2012,SPS915,1716853/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2011,SPS9C5,1827409/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2012,SPS9D8,1818374/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2012,SPS9D8,1610594/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2012,SPS9D8,1713830/1,Bachelor of Arts with Honours in Sports Studies,0,4A,6,30,0
2010,SPS915,1612920/1,Diploma in Higher Education in Sports Studies,0,4A,6,30,0
2012,SPS915,1914009/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,4A,6,30,0
2011,SPS915,1710055/1,Bachelor of Arts in Sports Studies,0,4B,5,25,0
2011,SPS915,1821466/1,Bachelor of Arts in Sports Studies,0,4B,5,25,0
2011,SPS915,1817325/1,Bachelor of Arts in Sports Studies,0,4B,5,25,0
2011,SPS915,1911963/1,Bachelor of Arts in Sports Studies,0,4B,5,25,0
2011,SPS915,1919960/1,Bachelor of Arts in Sports Studies,0,4B,5,25,0
2011,SPS915,1711326/1,Bachelor of Arts with Honours in Sports Studies,0,4B,5,25,0
2011,SPS915,1812332/1,Bachelor of Arts with Honours in Sports Studies,0,4B,5,25,0
2011,SPS915,1817124/1,Bachelor of Arts with Honours in Sports Studies,0,4B,5,25,0
2011,SPS9D8,1512754/1,Bachelor of Arts with Honours in Sports Studies,0,4B,5,25,0
2011,SPS9D8,1512510/1,Bachelor of Arts with Honours in Sports Studies,0,4B,5,25,0
2014,SPS9D8,1917054/1,Bachelor of Arts with Honours in Sports Studies,0,4B,5,25,0
2012,SPS9D8,1615352/1,Bachelor of Science with Honours in Computing Science and Sports Studies,0,4B,5,25,0
2012,SPS915,2023652/1,Bachelor of Arts in Sports Studies,0,4C,4,20,0
2012,SPS915,2021058/1,Bachelor of Arts in Sports Studies,0,4C,4,20,0
2011,SPS9D8,1610507/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,4C,4,20,0
2011,SPS915,1813402/1,Bachelor of Arts with Honours in Sports Studies,0,4C,4,20,0
2011,SPS915,1616910/1,Bachelor of Arts with Honours in Sports Studies,0,4C,4,20,0
2011,SPS915,1821419/1,Bachelor of Arts with Honours in Sports Studies,0,4C,4,20,0
2011,SPS9D8,1612697/1,Bachelor of Arts with Honours in Sports Studies,0,4C,4,20,0
2011,SPS9D8,1617096/1,Bachelor of Arts with Honours in Sports Studies,0,4C,4,20,0
2012,SPS9D8,1615089/1,Bachelor of Arts with Honours in Sports Studies,0,4C,4,20,0
2010,SPS915,1715666/1,Bachelor of Arts in Sports Studies,0,5A,3,15,0
2011,SPS915,1814830/1,Bachelor of Arts in Sports Studies,0,5A,3,15,0
2012,SPS9D8,1715699/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,5A,3,15,0
2012,SPS9D8,1616108/1,Bachelor of Arts with Honours in Sports Studies,0,5A,3,15,0
2012,SPS9D8,1716535/1,Bachelor of Arts with Honours in Sports Studies,0,5B,2,10,0
2013,SPS9D8,1711326/1,Bachelor of Arts with Honours in Sports Studies,0,5C,1,5,0
2013,SPS9C5,1914151/1,Bachelor of Arts in Sports Studies,0,NC,#N/A,#VALUE!,0
2013,SPS9C5,2022796/1,Bachelor of Arts in Sports Studies,0,NC,#N/A,#VALUE!,0
2012,SPS9D8,1615780/1,Bachelor of Arts in Sports Studies,0,NC,#N/A,#VALUE!,0
2010,SPS9C5,1715961/1,Bachelor of Arts with Honours in Sports Studies,0,NC,#N/A,#VALUE!,0
2013,SPS9D8,1813402/1,Bachelor of Arts with Honours in Sports Studies,0,NC,#N/A,#VALUE!,0
2014,SPS9D4,2117492/1,Certificate in Higher Education in Sports Studies,0,NC,#N/A,#VALUE!,0
2011,SPS915,1714900/1,Diploma in Higher Education in Sports Studies,0,NC,#N/A,#VALUE!,0
2013,SPS915,2016946/1,Bachelor of Science with Honours in Sport and Exercise Science,1,NC,#N/A,#VALUE!,0
2013,SPS9C5,2016946/1,Bachelor of Science with Honours in Sport and Exercise Science,1,NC,#N/A,#VALUE!,0
2013,SPS9D8,1716429/1,Bachelor of Arts with Honours in Sports Studies,0,PL,#N/A,#VALUE!,0
2012,SPS9D8,1615900/1,Bachelor of Arts in Psychology,0,X,0,0,0
2013,SPS9D4,2022796/1,Bachelor of Arts in Sports Studies,0,X,0,0,0
2010,SPS915,1614294/1,Bachelor of Arts in Sports Studies,0,X,0,0,0
2011,SPS915,1918413/1,Bachelor of Arts in Sports Studies,0,X,0,0,0
2011,SPS915,1920661/1,Bachelor of Arts in Sports Studies,0,X,0,0,0
2013,SPS915,2019052/1,Bachelor of Arts in Sports Studies,0,X,0,0,0
2014,SPS9D4,2120606/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,X,0,0,0
2013,SPS9D8,1813310/1,Bachelor of Arts with Honours in Film & Media and Sports Studies,0,X,0,0,0
2014,SPS9D4,1817692/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2014,SPS9D4,2012763/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2011,SPS915,1813468/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2010,SPS9C5,1720654/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2012,SPS9C5,1921590/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2012,SPS9D8,1818546/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2014,SPS9D8,1919063/1,Bachelor of Arts with Honours in Sports Studies,0,X,0,0,0
2013,SPS915,1918953/1,Diploma in Higher Education (main subject: Sports Studies),0,X,0,0,0
2013,SPS9C5,1918953/1,Diploma in Higher Education (main subject: Sports Studies),0,X,0,0,0
2012,SPS9C5,1714900/1,Diploma in Higher Education in Sports Studies,0,X,0,0,0
2011,SPS915,1818756/1,General Degree of Bachelor of Arts ,0,X,0,0,0
2013,SPS9D4,1615341/2,General Degree of Bachelor of Arts (main subject: Sports Studies),0,X,0,0,0
2010,SPS915,1614247/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,X,0,0,0
2013,SPS9D6,1914009/1,General Degree of Bachelor of Arts (main subject: Sports Studies),0,X,0,0,0
